NAME,RA,DEC,PMRA,PMDEC,EPOCH,RESOLUTION,SUBSURVEY,TEMPLATE,RULESET,EXTENT_FLAG,EXTENT_PARAMER,EXTENT_INDEX,MAG_TYPE,MAG,MAG_ERR,DATE_EARLIEST,DATE_LATEST,CADENCE,REDDENING,REDSHIFT_ESTIMATE,REDSHIFT_ERROR,TEMPLATE_REDSHIFT,CAL_MAG_BLUE,CAL_MAG_GREEN,CAL_MAG_RED,CAL_ERR_BLUE,CAL_ERR_GREEN,CAL_ERR_RED,CAL_ID_BLUE,CAL_ID_GREEN,CAL_ID_RED,CLASSIFICATION,COMPLETENESS,PARALLAX
b'i06n12s1500BT3',171.1029232262234,-15.248269691855633,-2.45,-2.073,2000.0,1,StreamInG@4MOST,ST_TEMPLATE.fits,ST_RULESET_LRS,0,0.0,0.0,SPLUS_r_AB_auto,13.573925735473631,0.001089825,0,0,0,0.09041935205459595,0,0,0,0,0,0,0,0,0,0,0,0,STAR,0,0.0488
b'i06n13s1600IQO',172.0158073829958,-16.40643765763463,-3.443,-2.734,2000.0,1,StreamInG@4MOST,ST_TEMPLATE.fits,ST_RULESET_LRS,0,0.0,0.0,SPLUS_r_AB_auto,15.870837955474856,0.0035029212,0,0,0,0.1050322574953879,0,0,0,0,0,0,0,0,0,0,0,0,STAR,0,0.1132
b'i06n15s1600HD0',171.87382332694975,-19.039765254507078,-8.466,4.238,2000.0,1,StreamInG@4MOST,ST_TEMPLATE.fits,ST_RULESET_LRS,0,0.0,0.0,SPLUS_r_AB_auto,13.617997917175297,0.0010321281,0,0,0,0.2816774191394929,0,0,0,0,0,0,0,0,0,0,0,0,STAR,0,0.2257
b'i06n16s17010KH',174.49846974028588,-19.76954810085609,2.045,-12.036,2000.0,1,StreamInG@4MOST,ST_TEMPLATE.fits,ST_RULESET_LRS,0,0.0,0.0,SPLUS_r_AB_auto,14.645157676696776,0.0018835263,0,0,0,0.27758063808564215,0,0,0,0,0,0,0,0,0,0,0,0,STAR,0,0.1104
b'i06n14s1701CHT',172.77256653056563,-16.981985741502587,-5.181,-4.802,2000.0,1,StreamInG@4MOST,ST_TEMPLATE.fits,ST_RULESET_LRS,0,0.0,0.0,SPLUS_r_AB_auto,15.784873931884764,0.003240461,0,0,0,0.019032258179879958,0,0,0,0,0,0,0,0,0,0,0,0,STAR,0,0.0983
b'i06n13s16001PV',171.87798624394176,-16.90331253633985,-4.807,-7.08,2000.0,1,StreamInG@4MOST,ST_TEMPLATE.fits,ST_RULESET_LRS,0,0.0,0.0,SPLUS_r_AB_auto,14.118115226745603,0.0015088179,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,STAR,0,0.2096
b'i06n13s1600E4W',171.61850900183558,-16.54141142700377,-4.432,-5.119,2000.0,1,StreamInG@4MOST,ST_TEMPLATE.fits,ST_RULESET_LRS,0,0.0,0.0,SPLUS_r_AB_auto,15.63520532989502,0.0030373114,0,0,0,0.17883871832201556,0,0,0,0,0,0,0,0,0,0,0,0,STAR,0,0.0485
b'i06n19s060189T',172.1628451210428,-23.908392174039736,-0.81,-1.205,2000.0,1,StreamInG@4MOST,ST_TEMPLATE.fits,ST_RULESET_LRS,0,0.0,0.0,SPLUS_r_AB_auto,15.043427223205564,0.0021978696,0,0,0,0.03464516132108627,0,0,0,0,0,0,0,0,0,0,0,0,STAR,0,0.2215
b'i06n18s1700YQX',174.70398435270934,-22.812638624387816,-10.306,-1.602,2000.0,1,StreamInG@4MOST,ST_TEMPLATE.fits,ST_RULESET_LRS,0,0.0,0.0,SPLUS_r_AB_auto,14.71564288330078,0.0018000026,0,0,0,0.02680645113991153,0,0,0,0,0,0,0,0,0,0,0,0,STAR,0,0.2008
b'i06n19s0900A8Y',176.1934397120066,-24.688920769002596,-2.485,-0.802,2000.0,1,StreamInG@4MOST,ST_TEMPLATE.fits,ST_RULESET_LRS,0,0.0,0.0,SPLUS_r_AB_auto,16.146441314697267,0.0040869075,0,0,0,0.03103225702239621,0,0,0,0,0,0,0,0,0,0,0,0,STAR,0,-0.005
